Year,High school graduates,Total egg production (in millions),High school graduates (Normalized),Total egg production (Normalized)
2000,"2,847,973",84717,0,0
2001,"2,906,534",86093,0.068287376,0.048299174
2002,"3,015,735",87252,0.195625531,0.0889814
2003,"3,054,438",87516,0.240756699,0.098248102
2004,"3,106,499",89198,0.301464492,0.157288226
2005,"3,122,544",90343,0.3201744,0.197479036
2006,"3,199,650",91788,0.410086909,0.248200189
2007,"3,312,337",91101,0.541490053,0.224085703
2008,"3,347,828",90239,0.58287574,0.193828517
2009,"3,439,022",90737,0.68921612,0.211308887
2010,"3,449,940",91811,0.701947486,0.249007515
2011,"3,455,405",92450,0.708320166,0.271437146
2012,"3,478,027",94364,0.734699446,0.338620736
2013,"3,479,930",97555,0.736918515,0.450628486
2014,"3,530,250",100879,0.795596146,0.567304688
2015,"3,563,750",97208,0.834660149,0.438448389
2016,"3,596,650",102111.5,0.873024498,0.610566848
2017,"3,651,200",105668.7,0.936634689,0.735428638
2018,"3,642,960",110037.7,0.92702611,0.888785536
2019,"3,596,790",113206.1,0.873187751,1
2020,"3,613,030",111734.4,0.892125047,0.948341646
2021,"3,640,400",111395.3,0.92404092,0.936438849
2022,"3,644,050",109949,0.928297148,0.885672064
2023,"3,705,540",109526,1,0.87082428
